Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
-0.490,-28.714,27.305,0.528,-0.122,0.935,    ,848.714,-64.806,296.047,152.919,-2.140,-0.362
-0.579,-27.370,27.776,0.416,-0.237,0.960,    ,848.714,-64.806,296.047,153.767,-2.134,-0.394
-0.677,-26.645,29.208,0.390,-0.079,0.800,    ,848.714,-64.806,296.047,154.682,-2.128,-0.428
-0.432,-26.115,29.531,0.341,-0.121,0.871,    ,848.714,-64.806,296.046,155.581,-2.121,-0.461
-0.696,-24.899,29.090,0.291,-0.129,0.760,    ,848.714,-64.805,296.046,156.429,-2.114,-0.492
-0.794,-23.948,29.835,0.214,-0.088,0.707,    ,848.714,-64.805,296.046,157.361,-2.105,-0.527
-0.853,-22.781,30.679,0.131,-0.062,0.740,    ,848.714,-64.805,296.046,158.276,-2.097,-0.560
-0.569,-21.938,30.100,0.150,-0.083,0.712,    ,848.714,-64.805,296.046,159.091,-2.088,-0.590
-0.814,-21.339,30.865,0.018,-0.014,0.614,    ,848.714,-64.805,296.046,160.006,-2.079,-0.623
-0.853,-20.221,30.590,0.076,-0.018,0.616,    ,848.714,-64.805,296.046,160.904,-2.069,-0.656
-0.588,-19.525,31.051,0.042,-0.056,0.627,    ,848.714,-64.805,296.046,161.736,-2.059,-0.686
-0.549,-18.260,31.424,-0.159,-0.081,0.630,    ,848.714,-64.805,296.046,162.667,-2.048,-0.719
-0.304,-18.005,30.355,-0.095,-0.116,0.694,    ,848.714,-64.804,296.046,163.582,-2.036,-0.752
-0.549,-17.417,32.503,-0.137,-0.036,0.537,    ,848.714,-64.804,296.046,164.514,-2.023,-0.785
-0.226,-16.338,32.189,-0.146,-0.040,0.535,    ,848.713,-64.804,296.046,164.979,-2.017,-0.801
-0.461,-15.426,31.110,-0.227,-0.050,0.582,    ,848.713,-64.804,296.046,166.277,-1.998,-0.847
-0.177,-14.857,32.463,-0.362,-0.025,0.584,    ,848.714,-64.804,296.046,167.092,-1.986,-0.875
